LP SYSTEM HUMAN BEER BLEU CDER CharacTER EED ESIM NIST PER TER WER YiSi-0 YiSi-1 YiSi-2 chrF chrF+ hLEPORa_baseline hLEPORb_baseline ibm1-morpheme sacreBLEU-BLEU sacreBLEU-chrF
de-cs lmu-unsup-nmt-de-cs.6845 -0.099 0.48794421276 0.1230 0.3712 -0.617835790066 -0.469027771115 0.451625354405 4.6516 0.4773 0.3275 0.3058 0.532118122283 0.813835661492 0.781636913871 44.5525 44.6860 0.50827367186 0.420123478921685 -515798.422188 0.1796 43.4896
de-cs Unsupervised.de-cs.6935 -0.405 0.475211097302 0.1111 0.3589 -0.635284789524 -0.485019757775 0.382773194167 4.2708 0.4666 0.3098 0.2892 0.518723256234 0.804829068603 0.776687596395 42.5495 42.8062 0.496409184721 0.396366636203688 -573885.733401 0.1678 41.4357
de-cs NICT.6938 0.367 0.519334774534 0.1565 0.4069 -0.574664833109 -0.431141925337 0.576701214389 5.2581 0.5088 0.3513 0.3246 0.57131524026 0.831670757636 0.784949583375 48.9261 49.1023 0.554032674555 0.479132596906093 -484250.863653 0.2108 47.7153
de-cs online-B.0 0.386 0.522560758071 0.1787 0.3946 -0.577553498457 -0.43055984778 0.576322426705 5.8164 0.4999 0.3618 0.3356 0.577114348022 0.83362680671 0.776079904357 48.6235 48.6447 0.543159390235 0.502064891791382 -609438.829491 0.2026 47.8331
de-cs Unsupervised.de-cs.6929 -0.328 0.486074448074 0.1196 0.3764 -0.619402651265 -0.474552784412 0.408088562034 4.3990 0.4812 0.3269 0.3060 0.531447936154 0.808837961442 0.77632703305 43.8500 44.1868 0.515770842248 0.404892596530371 -564371.477031 0.1850 42.5284
de-cs online-A.0 0.134 0.501501613613 0.1454 0.3619 -0.604466081489 -0.451982827495 0.520259236935 5.2347 0.4685 0.3199 0.2960 0.553188776415 0.820673269905 0.763956571357 45.7034 45.7728 0.517084103407 0.471923282764821 -650500.826003 0.1703 45.1015
de-cs CUNI-Unsupervised-NER-post.6934 -0.165 0.485517349984 0.1068 0.3404 -0.62787075814 -0.471054109898 0.45314834743 4.5401 0.4570 0.2971 0.2737 0.528656128092 0.810117567351 0.778033859289 44.5998 44.4714 0.49860498402 0.424471929087504 -526816.205797 0.1487 43.1071
de-cs online-Y.0 0.426 0.530145687962 0.1837 0.4124 -0.56504749334 -0.419120646468 0.61896089911 5.9616 0.5212 0.3782 0.3497 0.588110857286 0.839430530796 0.780174157236 50.2529 50.2033 0.555060635632 0.512319080393645 -490760.496592 0.2168 49.3454
de-cs online-G.0 0.319 0.516319129587 0.1601 0.3773 -0.580130460888 -0.433193017604 0.541230591715 5.4352 0.4857 0.3324 0.3073 0.572826703305 0.82900329995 0.774572738107 47.9812 48.0167 0.535255346001 0.488061668323988 -640986.4926 0.1892 46.8592
de-cs NEU_KingSoft.6766 0.179 0.509487098639 0.1373 0.3925 -0.584048677168 -0.442704126778 0.523550520819 4.9522 0.5042 0.3474 0.3225 0.55985881362 0.826378801703 0.787636025538 47.3588 47.4632 0.535979567807 0.437888651651339 -533324.879108 0.1966 46.3665
de-cs CAiRE.6949 -0.807 0.430018182927 0.0845 0.2992 -0.703441243382 -0.538204709904 0.190550091126 3.8176 0.4143 0.2470 0.2282 0.462333327491 0.77170574011 0.748624635954 36.4200 36.7809 0.436846399241 0.365322949869021 -672032.977676 0.1085 34.5438
