LP SYSTEM HUMAN BEER BERTr BLEU CDER CharacTER EED ESIM LASIM LP Meteor++_2.0(syntax) Meteor++_2.0(syntax+copy) NIST PER PReP TER UNI UNI+ WER WMDO YiSi-0 YiSi-1 YiSi-1_srl YiSi-2 YiSi-2_srl chrF chrF+ ibm1-morpheme ibm1-pos4gram sacreBLEU-BLEU sacreBLEU-chrF
de-en uedin.6749 0.011 0.62647975457 0.818569393575 0.0477 0.5478 -0.427517618506 -0.317419794344 0.462130646285 0.9104067648 2.197692 0.384744381109 0.370976090911 1.2975 0.6568 0.6585855012 0.5182 0.545344275027 0.58485349298 0.4823 -0.173495753044 0.697606019 0.812759476 0.7886530755 0.8059701495 0.779731231 59.8893 60.6387 -243518.429694 -2805028.45402 0.3686 60.1258
de-en online-X.0 -0.192 0.590724640744 0.792966769099 0.0432 0.4999 -0.467287953734 -0.346485073504 0.278996863727 0.90967849895 2.2901505 0.364490963966 0.34640913533 1.2177 0.6119 0.55402760695 0.4594 0.539883869962 0.57941939439 0.4284 -0.189818793779 0.665518536 0.75518939 0.730374161 0.789489869 0.762922656 55.1007 55.9037 -208518.057394 -2546528.30134 0.3474 55.3927
de-en JHU.6809 0.086 0.64207772512 0.835919395283 0.0492 0.5768 -0.397569096409 -0.292265105805 0.516733743255 0.908842652655 2.02833 0.400172194653 0.387017707983 1.2965 0.6730 0.6750933564 0.5299 0.557818894247 0.59509360699 0.4931 -0.156579115358 0.715975637 0.830867647 0.807691456 0.80939341 0.7834700515 62.9758 63.7388 -228018.514936 -2681030.07641 0.3930 63.5588
de-en online-A.0 0.05 0.634031329373 0.830246933207 0.0493 0.5584 -0.408341656123 -0.300981641706 0.483520671635 0.907588961545 2.260343 0.391671372078 0.377608413039 1.3168 0.6751 0.9393155899 0.5186 0.54719922569 0.58599660416 0.4802 -0.163383353143 0.7102877095 0.8245208775 0.8011063105 0.808491623 0.7824006015 62.1205 62.7315 -235018.640595 -2813529.5013 0.3855 62.6678
de-en online-B.0 0.121 0.672964838403 0.842858519867 0.0573 0.6214 -0.36272119031 -0.269873122719 0.507512248568 0.914098718825 2.0396695 0.419697258512 0.407646018124 1.4317 0.7237 0.7589641184 0.5969 0.550995687392 0.588544453325 0.5578 -0.129665408457 0.7440747885 0.8424112245 0.8190927005 0.814300797 0.7879423725 66.3175 67.0014 -217018.007656 -2621527.89283 0.4686 67.4428
de-en PROMT_NMT_DE-EN.6683 -0.128 0.603082730755 0.792357142225 0.0445 0.5252 -0.45621299826 -0.336798155193 0.324414005648 0.902912214305 2.2230895 0.367735853168 0.350658037417 1.2397 0.6376 0.59940140345 0.4765 0.53804780954 0.5783028747 0.4422 -0.198499660811 0.6771050185 0.781852964 0.757889328 0.8002664735 0.774291608 57.3935 58.2321 -211018.391689 -2714029.72671 0.3361 57.8658
de-en RWTH_Aachen_System.6818 0.136 0.65006865618 0.839189180374 0.0527 0.5848 -0.388895373821 -0.287579056497 0.523302455219 0.91037930611 2.1066875 0.404438424782 0.391468212801 1.3567 0.6944 0.71189648015 0.5442 0.555784545822 0.59337810025 0.5072 -0.151028742509 0.723082765 0.8358637025 0.8131798865 0.810944076 0.7851698525 63.6393 64.3523 -212018.413677 -2669529.10064 0.4130 64.2440
de-en MSRA.MADL.6910 0.136 0.66504855174 0.849562298164 0.0532 0.6103 -0.365802509434 -0.269078629713 0.551704515525 0.912917221255 2.030034 0.416590904663 0.404138608722 1.3638 0.7151 0.7255226236 0.5748 0.557043878335 0.5937015409 0.5369 -0.136199793762 0.7373462735 0.846790825 0.8243051825 0.814223844 0.7886381085 65.9582 66.6351 -218018.43685 -2652529.17577 0.4424 66.7052
de-en UCAM.6461 0.066 0.648355831972 0.839101919934 0.0517 0.5856 -0.395438203904 -0.288628804244 0.537502278158 0.90845023988 2.0448775 0.405178231449 0.392330505228 1.3429 0.6871 0.6906407089 0.5431 0.558357331312 0.595044431085 0.5043 -0.15128199535 0.720489394 0.83392475 0.810681564 0.808243302 0.781878281 63.4957 64.2624 -220018.414051 -2652029.69399 0.4148 64.1907
de-en Facebook_FAIR.6750 0.146 0.654982251384 0.845545896649 0.0535 0.5931 -0.382753017684 -0.280253416973 0.567916108645 0.90352000633 2.250546 0.410799232649 0.398424045303 1.3697 0.6976 0.68766613945 0.5538 0.554830490337 0.59266615949 0.5142 -0.144995439837 0.729058512 0.843221586 0.8201944895 0.807277628 0.781455912 64.5713 65.2736 -236018.75115 -2866029.76086 0.4217 65.4237
