LP SYSTEM HUMAN BEER BLEU CDER CharacTER EED ESIM NIST PER TER WER YiSi-0 YiSi-1 YiSi-2 chrF chrF+ hLEPORa_baseline hLEPORb_baseline ibm1-morpheme ibm1-pos4gram sacreBLEU-BLEU sacreBLEU-chrF
de-fr TartuNLP-c.6897 -0.104 0.609343079306 0.3415 0.4967 -0.445475058592 -0.332246123842 0.56133962816 7.9147 0.5908 0.4629 0.4348 0.681942950617 0.872103316285 0.794167106408 58.8240 58.9623 0.66588845474 0.665888454739832 -225182.682574 -1895391.44522 0.3415 59.6902
de-fr online-X.0 -0.456 0.585261888575 0.3226 0.4598 -0.478624797662 -0.358337755782 0.51610267126 7.6172 0.5566 0.4210 0.3970 0.65661295779 0.84982947913 0.776793187537 55.3516 55.4896 0.655392439714 0.65539243971373 -192849.006172 -1840717.42642 0.3226 56.0622
de-fr online-A.0 -0.194 0.600172948509 0.3515 0.5002 -0.454311564049 -0.340565082229 0.548083645798 7.9717 0.6134 0.4508 0.4212 0.673071369195 0.866127393886 0.783865788948 58.9674 58.8795 0.654322125096 0.654322125095681 -184030.375535 -2244599.90656 0.3515 59.4449
de-fr online-B.0 0.038 0.610822199141 0.3464 0.5057 -0.444249825545 -0.33469439533 0.580495371001 8.1074 0.5902 0.4784 0.4538 0.682704810112 0.87335261846 0.786112663727 59.0552 59.1359 0.656835866493 0.65683586649314 -216952.138313 -1890099.83756 0.3464 59.8975
de-fr LIUM.6719 0.129 0.617933482434 0.3636 0.5155 -0.433940472355 -0.325648621596 0.600177464282 8.2198 0.6060 0.4839 0.4580 0.691019100529 0.876847080541 0.785430738389 59.6676 59.8820 0.67609779272 0.676097792719867 -196376.031504 -1925962.14216 0.3636 60.8291
de-fr online-Y.0 0.019 0.614043453987 0.3641 0.5197 -0.428500474848 -0.325418741349 0.599130690043 8.3309 0.6065 0.4936 0.4665 0.691035513815 0.87607883833 0.786970669018 59.5731 59.5579 0.681386891755 0.681386891754575 -207546.179706 -1967701.76767 0.3641 61.0422
de-fr online-G.0 -0.24 0.585731479501 0.3412 0.4724 -0.480254222415 -0.348078891145 0.537749086126 8.0219 0.5738 0.4308 0.4067 0.672808227102 0.856651489124 0.778213426808 56.6676 56.5843 0.640370621454 0.640370621454418 -202255.942536 -2195805.59343 0.3412 57.8387
de-fr MLLP-UPV.6647 0.23 0.628289134888 0.3786 0.5310 -0.414356803232 -0.314706947485 0.620369085301 8.4757 0.6166 0.4984 0.4712 0.704019673721 0.881392443857 0.788766537919 60.8501 61.0824 0.690007738334 0.690007738334088 -213425.047905 -2034721.86743 0.3786 61.9497
de-fr MSRA.MADL.6888 0.249 0.64245271056 0.4029 0.5513 -0.393336493082 -0.298736567959 0.663621199459 8.7715 0.6332 0.5231 0.4976 0.71782123592 0.888661638448 0.78987038448 62.9082 63.0754 0.704245821853 0.704245821853226 -235176.954253 -1981811.94327 0.4029 63.9199
de-fr lingua_custodia_primary.6690 0.16 0.633371958939 0.3898 0.5386 -0.408313638885 -0.309313705524 0.626783112995 8.5871 0.6256 0.5080 0.4800 0.707080071723 0.882512236919 0.789169024691 61.6376 61.8986 0.703380632177 0.703380632177005 -201667.346838 -2022963.92546 0.3898 62.5267
de-fr Kyoto_University_T2T.6679 0.164 0.623588672385 0.3750 0.5286 -0.420485065511 -0.317755319569 0.606936702143 8.4140 0.6164 0.4948 0.4686 0.700769220459 0.880283411523 0.789411319812 60.6760 60.8420 0.680676199547 0.680676199546735 -206370.423947 -1965350.9263 0.3750 61.8760
