LP SYSTEM HUMAN BEER BLEU CDER CharacTER EED NIST PER TER UNI WER YiSi-0 YiSi-1 YiSi-2 chrF chrF+ ibm1-morpheme sacreBLEU-BLEU sacreBLEU-chrF
en-cs online-X.0 -0.651 0.501031281203 0.1271 0.3590 -0.583295065124 -0.44367836523 4.0532 0.4513 0.3085 0.449670135196 0.2885 0.562775240861 0.812956107661 0.748432821733 45.5748 45.6836 -487756.717083 0.1805 44.6776
en-cs TartuNLP-c.6633 -0.195 0.541925588126 0.1581 0.4393 -0.529824756364 -0.404621243543 4.5523 0.5430 0.3988 0.455128445398 0.3736 0.601906247872 0.845137309965 0.765197834752 51.2223 51.3854 -487757.221393 0.2398 50.9746
en-cs CUNI-DocTransformer-Marian.6922 0.223 0.574024149385 0.1769 0.4877 -0.490662325022 -0.37273283339 4.8610 0.5878 0.4513 0.449401825678 0.4243 0.633045834101 0.858327698548 0.761952019529 55.8463 55.9912 -522309.622032 0.2917 54.5194
en-cs online-A.0 -0.594 0.513497674341 0.1466 0.3824 -0.577613428009 -0.437865715235 4.3666 0.4865 0.3447 0.44666635862 0.3223 0.569548695493 0.827444249374 0.756182170756 47.0265 47.1066 -502779.258109 0.1883 46.6877
en-cs online-B.0 -0.336 0.538572527726 0.1775 0.4232 -0.545561269885 -0.412535682905 4.8643 0.5268 0.3883 0.454067471483 0.3631 0.596505531297 0.841805416625 0.76884939309 50.5443 50.6535 -497771.752224 0.2250 50.0956
en-cs CUNI-Transformer-T2T-2018.6457 0.401 0.586931949286 0.1968 0.5042 -0.472164268329 -0.360133816814 5.2036 0.6037 0.4714 0.451606708938 0.4452 0.647019151728 0.865320863295 0.763242201803 57.4147 57.5857 -527818.114977 0.3093 56.1830
en-cs online-Y.0 -0.156 0.549562591575 0.1766 0.4420 -0.525133881084 -0.397880823836 4.9027 0.5474 0.4111 0.449820111803 0.3849 0.610651334502 0.848201165248 0.770330132198 52.5263 52.5183 -500276.152644 0.2419 51.7642
en-cs online-G.0 -0.3 0.536465076082 0.1543 0.4006 -0.544898352456 -0.413207391486 4.4931 0.5032 0.3681 0.453648145849 0.3451 0.596673300451 0.83900731998 0.771972456184 49.9492 49.9858 -492263.672062 0.2094 48.7988
en-cs CUNI-DocTransformer-T2T.6751 0.402 0.58754585005 0.1904 0.5042 -0.473012299367 -0.358870383565 5.1045 0.6061 0.4697 0.451509439289 0.4427 0.64728146019 0.865065997496 0.764996024537 57.5673 57.7576 -538834.399788 0.3103 56.1449
en-cs uedin.6667 0.206 0.576676167523 0.1916 0.4895 -0.486118976944 -0.370773182179 5.1417 0.5877 0.4589 0.450413350576 0.4323 0.635241097646 0.861177698047 0.763326397096 56.0571 56.1944 -542339.781808 0.2900 55.0079
en-cs CUNI-Transformer-T2T-2019.6851 0.388 0.57973374948 0.1892 0.4977 -0.484396697036 -0.368191704586 5.0849 0.5971 0.4647 0.449209093355 0.4386 0.639329056985 0.860957134702 0.763401569855 56.3307 56.5415 -536831.47587 0.3042 55.3537
