LP SYSTEM HUMAN BEER BLEU CDER CharacTER EED ESIM LASIM LP NIST PER TER UNI USFD USFD-TL WER YiSi-0 YiSi-1 YiSi-1_srl YiSi-2 YiSi-2_srl chrF chrF+ ibm1-morpheme ibm1-pos4gram sacreBLEU-BLEU sacreBLEU-chrF
en-de UCAM.6731 0.213 0.668395434522 0.1807 0.6138 -0.359856493624 -0.27877586367 0.729275075303 0.928427168638 2.23048622934 4.3994 0.7013 0.5852 0.569128429975 0.659006710065 0.722834852278 0.5625 0.735874745618 0.892715732599 0.873910740611 0.812683078117 0.776453502754 66.4904 66.7180 -153251.868413 -1878351.35901 0.4458 67.1230
en-de Microsoft-WMT19-sentence-level.6785 0.094 0.66992832132 0.1846 0.6120 -0.358510959855 -0.273687339077 0.704713009842 0.933070607181 2.28918277416 4.4642 0.7042 0.5814 0.564498942634 0.655981021532 0.721091987982 0.5560 0.736491704056 0.892442508763 0.872992850776 0.814980051577 0.778101493741 67.0579 67.2629 -169276.04717 -1913904.82488 0.4470 67.7573
en-de MSRA.MADL.6926 0.214 0.677487969266 0.1861 0.6291 -0.344717048157 -0.265437092591 0.753879459084 0.931611261272 2.22586129194 4.4495 0.7143 0.5995 0.568609464766 0.666084677016 0.722827741612 0.5756 0.744691424637 0.896474414121 0.877777778668 0.813836576365 0.77762018678 68.0557 68.2442 -159261.079332 -1942448.07324 0.4639 68.8283
en-de PROMT_NMT_EN-DE.6674 0.001 0.642028183041 0.1639 0.5688 -0.398207587822 -0.305029398354 0.64548071293 0.932621650756 1.90356034051 4.1875 0.6601 0.5386 0.570997442367 0.698142864296 0.739114922384 0.5136 0.709319261893 0.880797975463 0.861454366049 0.81278178668 0.776551343015 62.7942 63.1509 -155254.518395 -2089668.37146 0.3881 63.2633
en-de Microsoft-WMT19-document-level.6808 0.296 0.67573855787 0.1861 0.6205 -0.346373890388 -0.264815696526 0.753558748246 0.928398261848 2.38050025038 4.4840 0.7052 0.5885 0.563713181362 0.660953980971 0.723750225338 0.5632 0.743114536304 0.897242541312 0.877995567351 0.811263287431 0.77533662694 68.1073 68.2748 -155255.277044 -1952463.32545 0.4517 68.6534
en-de online-B.0 0.094 0.657962990528 0.1807 0.5866 -0.384464590723 -0.291570710342 0.715459330522 0.920212059074 2.01686129194 4.4320 0.6730 0.5619 0.570783419339 0.703573109664 0.741101101652 0.5396 0.724827649474 0.888380470706 0.869081317977 0.807552523786 0.770812045568 64.6937 65.0028 -163266.549563 -2006042.6259 0.4195 65.3301
en-de dfki-nmt.6479 0.119 0.660893570494 0.1774 0.5954 -0.363551044978 -0.281766193474 0.72059413965 0.931383474777 1.9351116675 4.3448 0.6846 0.5654 0.575957749331 0.694229994992 0.745291136705 0.5420 0.728637608913 0.888369827241 0.869642815724 0.809573092639 0.773535846269 65.6095 65.9008 -163767.34943 -2113204.23219 0.4377 66.4492
en-de NEU.6763 0.208 0.672000862545 0.1844 0.6201 -0.354806407214 -0.27381048694 0.735878794183 0.93040726021 2.2663995994 4.4681 0.7048 0.5917 0.56615095852 0.660556985478 0.723397346019 0.5682 0.739018188282 0.894682416625 0.875973149224 0.813248442664 0.777271717576 67.0410 67.2409 -157758.733148 -1971992.06345 0.4497 67.7084
en-de MLLP-UPV.6651 0.189 0.659892806863 0.1741 0.5982 -0.371647950415 -0.283763399475 0.717096938184 0.929157752844 1.926442664 4.3085 0.6895 0.5691 0.573640457451 0.695914021032 0.744048723085 0.5442 0.726286595894 0.890299482724 0.871310583375 0.811121725088 0.77520770005 65.4658 65.7794 -158759.857942 -2093173.87791 0.4284 66.4968
en-de Facebook_FAIR.6862 0.347 0.670241602227 0.1803 0.6138 -0.352621918406 -0.270484836122 0.743148888155 0.926873066575 2.47044016024 4.4074 0.7006 0.5817 0.562795174116 0.662443264897 0.720603955934 0.5554 0.738251654982 0.895464867301 0.876637628943 0.809786591888 0.773938615423 67.4353 67.6233 -163768.186463 -2016559.65605 0.4406 68.0522
en-de en_de_task.6790 -1.769 0.499001879491 0.0803 0.3669 -0.600790418756 -0.445315856879 0.0679589194729 0.857058348863 3.13247871808 2.7876 0.4603 0.3367 0.50731719815 0.680694141212 0.731649374061 0.3198 0.555543631502 0.782604723085 0.757821758638 0.754307249875 0.71699422033 45.6297 45.7783 -315496.620201 -2091168.56049 0.1718 46.3964
en-de JHU.6819 0.081 0.663256084068 0.1761 0.6091 -0.363583960622 -0.28129572079 0.707978089437 0.933590441367 2.07630746119 4.3270 0.6972 0.5789 0.570095338064 0.671596094141 0.733554081122 0.5550 0.730335493741 0.890841779169 0.871987538307 0.815036406109 0.778962658988 66.0081 66.2531 -158259.459251 -1920414.76855 0.4390 66.7868
en-de Helsinki-NLP.6820 0.077 0.662092427261 0.1777 0.6011 -0.371316407298 -0.285147015213 0.702518936518 0.931401697576 2.17177215824 4.3774 0.6896 0.5739 0.566225599221 0.660010315473 0.722481772659 0.5495 0.727991900351 0.8891003335 0.86952619329 0.813903650476 0.777193809715 65.7124 65.8946 -160763.166372 -1927925.61685 0.4303 66.3605
en-de UdS-DFKI.6871 -0.129 0.644691862788 0.1678 0.5736 -0.397382870097 -0.302593905181 0.640787761563 0.926668811007 2.17637305959 4.2198 0.6660 0.5433 0.561779713317 0.661880470706 0.717545718578 0.5179 0.710741715073 0.878722516775 0.857787612919 0.811516003505 0.77427745318 63.4669 63.7115 -174784.076546 -2044099.64098 0.3988 63.6752
en-de lmu-ctx-tf-single-en-de.6981 0.01 0.65298943154 0.1748 0.5889 -0.382937299369 -0.289790651302 0.672053125412 0.931492415373 2.27959238858 4.3336 0.6831 0.5568 0.561369643794 0.662852628943 0.72069323986 0.5318 0.718996873811 0.885757301953 0.864710682023 0.814541473711 0.777207614922 65.0074 65.1958 -184799.612132 -2106193.44101 0.4191 65.7571
en-de eTranslation.6823 0.13 0.663329859518 0.1755 0.6050 -0.365110133354 -0.281424426365 0.714920900571 0.93052590699 2.32176815223 4.3212 0.6937 0.5755 0.565697144939 0.666078167251 0.721577466199 0.5514 0.730033859289 0.891472125188 0.873044584377 0.81208778017 0.776112344517 66.0930 66.2758 -168775.516226 -1938942.61125 0.4347 66.7713
en-de online-X.0 -0.4 0.606772853879 0.1301 0.5046 -0.433749333762 -0.333472427507 0.532130558883 0.936727944537 2.00680821232 3.6255 0.5963 0.4651 0.570836639641 0.683668652979 0.718837356034 0.4414 0.672606665999 0.857527634452 0.834472883826 0.80518350676 0.767256803706 58.5664 58.8626 -143737.061016 -2120715.84764 0.3233 58.8628
en-de online-A.0 -0.072 0.651177929686 0.1706 0.5873 -0.384167805875 -0.293294134665 0.676530446611 0.928352410616 1.98381321983 4.2303 0.6792 0.5540 0.570823971574 0.693506309464 0.735762694041 0.5296 0.71922406009 0.885440604907 0.865831670506 0.810715475213 0.774381296445 64.3615 64.6552 -147743.252494 -2064130.10718 0.4224 65.6583
en-de online-Y.0 0.038 0.667332067816 0.1793 0.6075 -0.362090581051 -0.280995396631 0.709128359464 0.934505646425 2.15407110666 4.4047 0.6923 0.5820 0.569589750055 0.665372508763 0.720241211818 0.5588 0.733756315954 0.890567252379 0.870979524787 0.816438048072 0.780262837256 66.1799 66.3968 -161263.721153 -1920414.22079 0.4344 66.4378
en-de online-G.0 -0.119 0.635711089988 0.1726 0.5509 -0.404153006329 -0.30961285797 0.661252118548 0.927196510651 2.20994191287 4.3206 0.6336 0.5299 0.571723602076 0.662801301953 0.729949123686 0.5079 0.708913148222 0.875053771157 0.852853404106 0.811646455684 0.773675196294 61.6799 61.8440 -170276.915157 -2201335.09988 0.4027 61.9575
en-de Microsoft-WMT19-sentence_document.6974 0.311 0.676115296435 0.1564 0.6210 -0.345933774079 -0.264619344517 0.749763306323 0.929699893275 2.33997045568 1.1421 0.7050 0.5887 0.564658840751 0.659597996995 0.723847471207 0.5629 0.74354831347 0.897469798197 0.878446690536 0.812100231848 0.776205995994 68.1141 68.2927 -160262.73313 -1915908.49168 0.4514 68.6515
en-de TartuNLP-c.6508 -0.132 0.627779301369 0.1597 0.5533 -0.410959409627 -0.316014900698 0.636644041381 0.92882628329 1.85172458688 4.1020 0.6454 0.5235 0.571965330381 0.693060540811 0.7378 0.5005 0.692434702053 0.875377135203 0.855003421632 0.809665856284 0.773396127191 61.5025 61.7942 -153251.619602 -1979002.15965 0.3721 62.3293
