LP SYSTEM HUMAN BEER BLEU CDER CharacTER EED ESIM NIST PER TER UNI WER YiSi-0 YiSi-1 YiSi-2 chrF chrF+ ibm1-morpheme sacreBLEU-BLEU sacreBLEU-chrF
en-fi online-X.0 -0.398 0.491843766308 0.1359 0.3198 -0.633811142665 -0.45576981884 0.561417795042 4.2348 0.4058 0.2856 0.406370735972 0.2717 0.54866149329 0.780434513771 0.706230600901 45.0234 44.3026 -641986.328056 0.1789 43.3632
en-fi GTCOM-Primary.6917 0.586 0.586665589687 0.2005 0.4564 -0.476242751767 -0.358463577986 0.880023827807 5.2051 0.5464 0.4309 0.438990787611 0.4102 0.628456097646 0.850166174261 0.746282685028 58.2551 57.6823 -725615.200316 0.2667 57.7295
en-fi online-A.0 -0.384 0.51804285927 0.1099 0.3347 -0.585573521418 -0.432377285518 0.497244187218 3.6947 0.4223 0.2876 0.40985555032 0.2706 0.549083970956 0.804783920381 0.749172798698 48.9899 48.2705 -725613.605992 0.1515 47.9793
en-fi online-B.0 0.037 0.551747393953 0.1585 0.4078 -0.530831995166 -0.396444040522 0.797911435635 4.5320 0.4968 0.3720 0.439981265972 0.3552 0.587821921382 0.834116281422 0.748960015523 53.2555 52.7423 -687556.662549 0.2108 52.5526
en-fi Helsinki_NLP__rule-based_.6636 -0.522 0.490448356266 0.0708 0.2835 -0.59792682429 -0.455476747823 0.519563309039 3.1191 0.3797 0.2375 0.408589108856 0.2226 0.508402209815 0.794302509765 0.73758370656 45.7439 44.7296 -783201.949411 0.0961 45.1468
en-fi online-Y.0 0.275 0.564398669274 0.1700 0.4107 -0.521810836593 -0.385867016679 0.79023105931 4.8337 0.4954 0.3837 0.430901544745 0.3656 0.610700545318 0.840839189785 0.748903403105 54.7182 53.8953 -892364.821555 0.2162 53.7776
en-fi online-G.0 0.072 0.54549697042 0.1559 0.3787 -0.565823905082 -0.40901612918 0.696221779622 4.4887 0.4686 0.3466 0.420095882136 0.3294 0.585794718378 0.82546654031 0.738745631948 52.0911 51.4384 -757160.635051 0.1993 50.1161
en-fi NICT.6359 0.199 0.565660808945 0.1794 0.4330 -0.505141549958 -0.381025843109 0.79750147617 4.8304 0.5189 0.4007 0.438083508132 0.3832 0.603937275413 0.838563842263 0.750259098147 55.3622 54.8416 -731123.115221 0.2398 54.8028
en-fi Helsinki_NLP.6860 0.09 0.552442116225 0.1639 0.4115 -0.530455187769 -0.400008352273 0.788319926863 4.6204 0.5020 0.3808 0.437281344337 0.3620 0.586951283575 0.83126498648 0.743029980971 53.1787 52.6729 -718103.27418 0.2173 52.5427
en-fi apertium-fin-eng-unconstrained-en-fi.6448 -1.26 0.418916737145 0.0342 0.2018 -0.704965925474 -0.546866234046 0.0281631301729 2.1100 0.2624 0.1438 0.346997461191 0.1328 0.427844161743 0.739402988983 0.711222039059 34.7032 33.9845 -812747.908583 0.0472 34.4583
en-fi MSRA.NAO.6985 0.57 0.593013807622 0.2118 0.4731 -0.462565118534 -0.35052559554 0.904794820772 5.3004 0.5629 0.4450 0.443292305994 0.4241 0.635188162744 0.85340171307 0.746267120681 59.3404 58.8008 -742139.88992 0.2855 58.8205
en-fi TartuNLP-c.6509 -0.125 0.534652040208 0.1465 0.3911 -0.55399686408 -0.413418979377 0.772106971747 4.3590 0.4773 0.3620 0.438739347118 0.3443 0.567537758738 0.825252728593 0.744196685028 51.4227 50.8937 -686555.44387 0.1920 50.4439
