LP SYSTEM HUMAN BEER BLEU CDER CharacTER EED NIST PER TER WER YiSi-0 YiSi-1 YiSi-2 chrF chrF+ hLEPORa_baseline hLEPORb_baseline sacreBLEU-BLEU sacreBLEU-chrF
en-gu online-X.0 -0.502 0.425182922608 0.1095 0.3372 -0.738115057662 -0.537448844237 3.9711 0.4230 0.2599 0.2369 0.582176865762 0.761478297595 0.625780038076 55.2559 53.0292 0.43221829909 0.432218299090478 0.1096 30.5440
en-gu GTCOM-Primary.6970 0.597 0.602350048299 0.2870 0.5746 -0.421906892961 -0.315128618347 6.8559 0.6383 0.4671 0.4335 0.746714288577 0.863885450902 0.620137805611 79.9585 77.1031 0.654259082062 0.654259082062018 0.2870 59.3016
en-gu Ju_Saarland_clean_num_135_bpe.6617 -0.079 0.529030539419 0.2199 0.4721 -0.566720377677 -0.42620770581 6.0484 0.5579 0.4025 0.3727 0.66974039479 0.811463760521 0.622698309619 67.1563 64.9535 0.57512726436 0.575127264359932 0.2199 46.7910
en-gu online-B.0 0.663 0.758676776408 0.6175 0.7857 -0.222281990964 -0.172115609054 10.2567 0.8158 0.7211 0.6979 0.865825744489 0.92358692986 0.618939365731 88.7915 87.4708 0.822548370196 0.822548370195636 0.6176 79.2258
en-gu NICT.6604 -0.465 0.448636741014 0.1032 0.3606 -0.678374641798 -0.505015130858 3.9135 0.4666 0.2503 0.2246 0.601697270441 0.783648104208 0.610471523046 64.5324 60.8196 0.443539037026 0.443539037026112 0.1033 36.8008
en-gu online-G.0 -0.49 0.481415869344 0.0905 0.3889 -0.70066336821 -0.491826405887 4.5702 0.5314 0.2455 0.1951 0.627477307615 0.793286173347 0.631175342685 68.9542 65.9024 0.505707996033 0.505707996033008 0.0906 41.4659
en-gu MSRA.CrossBERT.6991 0.318 0.511299815089 0.1657 0.4515 -0.548894307009 -0.421578604554 5.1995 0.5588 0.3662 0.3347 0.660978769539 0.82247504008 0.619328683367 71.5031 68.1970 0.54690795515 0.546907955150164 0.1657 45.5683
en-gu CUNI-T2T-transfer-engu.6466 0.254 0.51060134212 0.1435 0.4325 -0.581192740093 -0.422459947151 5.0244 0.5172 0.3651 0.3349 0.66572643988 0.821236391784 0.615196643287 70.5072 66.8223 0.515480399696 0.515480399695581 0.1435 44.6971
en-gu UdS-DFKI.6866 -0.718 0.436542594648 0.0704 0.3307 -0.740721080988 -0.540729936369 3.7973 0.3798 0.1412 0.1060 0.585334312625 0.758796428858 0.584315856713 65.0628 60.7317 0.428115957095 0.428115957095435 0.0704 35.4055
en-gu UEDIN.6849 0.305 0.522068752964 0.1627 0.4647 -0.524548882027 -0.396811788027 5.0697 0.5482 0.3519 0.3194 0.671942507014 0.827483945892 0.620378082164 74.1348 70.5159 0.549270566025 0.549270566024629 0.1627 49.3676
en-gu IITP-MT.6827 -0.458 0.433481177894 0.0825 0.3391 -0.696210307438 -0.516907856398 3.5953 0.4610 0.2162 0.1859 0.579999959569 0.778291906814 0.617716991984 65.1946 61.2177 0.416165853535 0.416165853534661 0.0825 36.5131
