LP SYSTEM HUMAN BEER BLEU CDER CharacTER EED ESIM NIST PER TER WER YiSi-0 YiSi-1 YiSi-2 chrF chrF+ hLEPORa_baseline hLEPORb_baseline sacreBLEU-BLEU sacreBLEU-chrF
en-kk rug_enkk_bpe.6804 -0.049 0.460797223366 0.1186 0.2954 -0.700044722929 -0.496675843258 0.382029618251 4.6088 0.3910 0.2461 0.2274 0.512896996994 0.79094656012 0.676489230461 53.1297 50.8958 0.430800911834 0.430800911834192 0.1186 40.9991
en-kk CUNI-T2T-transfer-enkk.6554 0.097 0.47017122596 0.0996 0.2703 -0.647716795054 -0.478851836794 0.423772822017 4.2771 0.3717 0.2082 0.1881 0.523410749499 0.798194130261 0.667431788577 57.7449 54.7150 0.436792363283 0.436792363282789 0.0996 44.1004
en-kk online-B.0 0.243 0.521329740753 0.1869 0.3572 -0.58299565076 -0.430259934692 0.562707545479 5.4495 0.4441 0.3236 0.3038 0.576828785571 0.821351772545 0.674799663327 61.2388 58.7401 0.502004669622 0.502004669622396 0.1869 48.8740
en-kk UAlacant_-_NMT.6718 0.262 0.481035013283 0.1114 0.2851 -0.624265584409 -0.464282872929 0.469468970215 4.3974 0.3687 0.2150 0.1929 0.535576164329 0.805008341683 0.673190466934 58.4408 55.7850 0.456872803329 0.456872803329472 0.1114 44.6193
en-kk UAlacant_-_NMT+RBMT.6722 0.222 0.479536369191 0.1112 0.2809 -0.624492308553 -0.466497229999 0.457390147159 4.3619 0.3581 0.2090 0.1852 0.533033656313 0.803645828657 0.672973318637 58.4463 55.7183 0.45202728259 0.452027282589679 0.1112 44.7757
en-kk online-G.0 0.078 0.497147123231 0.1469 0.3198 -0.631451369887 -0.454681988266 0.479500596862 5.1844 0.4216 0.2791 0.2527 0.554871230461 0.811822612224 0.675802731463 58.4898 55.9616 0.481317877361 0.481317877361475 0.1469 46.7420
en-kk NEU.6755 0.126 0.485292023552 0.1235 0.3101 -0.622733250719 -0.462399613743 0.455413533838 4.6659 0.4151 0.2580 0.2365 0.541060977956 0.804392127255 0.670849372745 58.6042 55.9221 0.468854575481 0.468854575480941 0.1235 45.0762
en-kk DBMS-KU_ENKK.6730 -1.395 0.313151895818 0.0130 0.1060 -0.806127550421 -0.649921041542 -0.453222503798 1.5854 -0.2542 -0.3713 -0.3548 0.333246806313 0.674336321643 0.670684991984 41.1035 38.3668 0.23019371769 0.230193717689711 0.0130 25.7872
en-kk NICT.6550 -0.493 0.418400699445 0.0761 0.2371 -0.744965362308 -0.539035838993 0.213300639731 3.4852 0.3283 0.1297 0.1140 0.467006166713 0.760075180361 0.657797256513 49.5058 46.9470 0.360632335581 0.360632335580737 0.0760 35.7975
en-kk MSRA.CrossBERT.6874 0.108 0.470197813779 0.1189 0.2973 -0.644666209907 -0.481126956015 0.426484988198 4.5176 0.4003 0.2466 0.2274 0.524352480962 0.796763721443 0.667321211423 56.5179 53.9651 0.444195437464 0.444195437463691 0.1189 42.4707
en-kk talp_upc_2019_enkk.6355 -0.328 0.42523900222 0.0754 0.2243 -0.713939178972 -0.531939586718 0.27513803259 3.5801 0.3204 0.1570 0.1394 0.468451721643 0.764784917836 0.657296672345 51.5500 48.7634 0.36133748477 0.361337484769755 0.0754 37.7148
