LP SYSTEM HUMAN BEER BLEU CDER CharacTER EED ESIM NIST PER TER WER YiSi-0 YiSi-1 YiSi-2 chrF chrF+ hLEPORb_baseline ibm1-morpheme sacreBLEU-BLEU sacreBLEU-chrF
en-lt online-X.0 -0.666 0.464148401036 0.1101 0.2790 -0.652827895934 -0.480467667101 0.215171124333 4.1918 0.3787 0.2186 0.2023 0.509241665331 0.776176911824 0.698024171343 40.4748 40.2557 0.410825848778556 -512048.873394 0.1174 40.8342
en-lt tilde-c-nmt.6695 0.262 0.532987628998 0.1956 0.4061 -0.555905693578 -0.405856142752 0.489549795731 5.5971 0.5209 0.3575 0.3319 0.579832511022 0.826423380762 0.719338812625 51.2273 50.9109 0.497745810897361 -745518.849673 0.2074 51.1672
en-lt GTCOM-Primary.7001 0.155 0.535308954592 0.1807 0.3924 -0.532496916746 -0.397461513018 0.495410551079 5.4081 0.4950 0.3407 0.3174 0.592159773547 0.830669995992 0.72414803006 50.6800 50.4299 0.495837806538368 -580186.895145 0.1925 51.8908
en-lt online-B.0 -0.061 0.50225816442 0.1610 0.3680 -0.597757673085 -0.43605475907 0.383638365663 4.9573 0.4759 0.3078 0.2859 0.551646551102 0.810694151303 0.724176182365 46.5807 46.2723 0.452389787219837 -735497.344858 0.1713 46.9563
en-lt tilde-nc-nmt.6696 0.388 0.537447462064 0.2019 0.4091 -0.548598032254 -0.399381154446 0.513730667983 5.7387 0.5163 0.3674 0.3421 0.586387224449 0.827402044088 0.712483130261 51.5687 51.1864 0.500288778429375 -735498.835101 0.2079 51.6385
en-lt online-A.0 -0.62 0.473804460889 0.0918 0.2867 -0.63177545406 -0.468173203492 0.209977726647 4.0513 0.4034 0.2297 0.2096 0.516559170341 0.790396558116 0.730116170341 42.2566 41.7736 0.39387696624989 -549123.601061 0.0977 43.3404
en-lt NEU.6760 -0.054 0.519665129882 0.1734 0.3847 -0.573756215335 -0.417833067743 0.421228770923 5.2458 0.4831 0.3142 0.2872 0.567363968136 0.817469495992 0.731007547094 49.2928 49.0469 0.480390579352713 -682391.50114 0.1841 49.3080
en-lt online-G.0 -0.805 0.465469073834 0.0896 0.2768 -0.640080510526 -0.473613609771 0.182479268108 3.8675 0.3572 0.2004 0.1796 0.510992716433 0.786719438878 0.728186840681 41.3976 40.9238 0.385426557869885 -575175.261576 0.0954 42.7197
en-lt MSRA.MASS.6954 0.387 0.540143659621 0.2054 0.4133 -0.545867147321 -0.397269949782 0.512434979792 5.7319 0.5261 0.3674 0.3398 0.589890771543 0.829309441884 0.723281411824 51.9190 51.6125 0.506413553920015 -738504.587553 0.2160 51.7559
en-lt MSRA.MASS.6931 0.259 0.535033204426 0.1975 0.4035 -0.548785068172 -0.403073096863 0.486197484986 5.6214 0.5146 0.3593 0.3334 0.584913868737 0.826035611222 0.727002588176 51.2154 50.8646 0.495972938249296 -747522.81959 0.2069 51.0287
en-lt TartuNLP-c.6510 -0.383 0.483385924145 0.1316 0.3366 -0.615545855899 -0.451554230345 0.330708610477 4.4997 0.4440 0.2830 0.2647 0.526953694389 0.800487117234 0.725876042084 44.6172 44.1635 0.422332371364338 -645317.340038 0.1382 44.5569
en-lt eTranslation.6836 0.036 0.518990168116 0.1731 0.3804 -0.56453747314 -0.417643815092 0.420296171521 5.1956 0.4902 0.3241 0.2986 0.567535448898 0.819715382766 0.726733166333 49.2447 48.8920 0.472741345797331 -737502.373878 0.1837 49.4671
