LP SYSTEM HUMAN BEER BLEU CDER CharacTER EED ESIM LASIM LP NIST PER TER UNI UNI+ USFD USFD-TL WER YiSi-0 YiSi-1 YiSi-2 chrF chrF+ sacreBLEU-BLEU sacreBLEU-chrF
en-ru Facebook_FAIR.6724 0.506 0.617155090866 0.2247 0.5682 -0.403881875194 -0.312484854135 0.634558155755 0.91463342331 2.9117796695 4.9576 0.6261 0.5267 0.498815297236 0.522068814246 0.390114922384 0.318807361042 0.5118 0.708572776515 0.882527688533 0.765787650476 71.3104 70.1303 0.3719 59.5507
en-ru USTC-MCC.6795 0.332 0.607972231797 0.2178 0.5545 -0.419812774392 -0.325394851531 0.597641252359 0.916894840726 2.81421832749 4.8717 0.6100 0.5155 0.499076609181 0.52226415303 0.384250375563 0.316967601402 0.5004 0.699461561342 0.876557729094 0.768057067101 70.1660 68.9835 0.3547 58.0263
en-ru online-X.0 -0.363 0.542876674596 0.1593 0.4504 -0.507949071796 -0.391755885494 0.41666011131 0.914990433235 2.94358537807 4.1127 0.5272 0.4075 0.484013814929 0.505518684447 0.379178768152 0.316152929394 0.3918 0.639726363796 0.835563080621 0.755321493741 63.7110 62.1492 0.2643 49.3051
en-ru rerank-er.6572 -0.188 0.524606252506 0.1734 0.4825 -0.503066832293 -0.386966669894 0.463919022287 0.922521160851 2.85131347021 4.1289 0.5411 0.4390 0.493268310853 0.516477932308 0.374542063095 0.306472258388 0.4245 0.631577610491 0.853831459189 0.781466957436 63.3983 62.1776 0.2856 51.3483
en-ru online-B.0 0.269 0.597252961407 0.2036 0.5283 -0.434385528861 -0.340525882461 0.588468926358 0.912304508378 3.19401952929 4.7574 0.5769 0.4951 0.491322665338 0.513357148346 0.380947721582 0.302151827742 0.4811 0.686043256885 0.871469416124 0.763823436655 68.8301 67.3174 0.3202 56.4801
en-ru NEU.6773 0.223 0.602246741852 0.2114 0.5495 -0.422548163139 -0.330258419565 0.578230772294 0.922251048257 2.78480671007 4.7736 0.6069 0.5081 0.498727095298 0.522063155208 0.381580070105 0.311024136204 0.4942 0.692421923736 0.874602771157 0.769356710065 69.6921 68.4989 0.3462 57.3996
en-ru online-A.0 -0.268 0.551624278882 0.1538 0.4556 -0.496623929857 -0.384539121021 0.40820147538 0.921031491602 2.97782423635 4.0337 0.5156 0.4227 0.480710510078 0.500487332354 0.363495042564 0.299649374061 0.4097 0.64184189344 0.84600631347 0.763903553831 65.0094 63.2247 0.2459 50.5605
en-ru TartuNLP-u.6645 -0.31 0.543296434389 0.1568 0.4541 -0.506699437537 -0.392251446598 0.44520593975 0.916769813625 2.72665047571 3.9511 0.5265 0.4042 0.491415722481 0.513490257922 0.388918527792 0.320747521282 0.3886 0.624974221237 0.847218274912 0.764893843265 64.1151 62.5555 0.2574 50.2885
en-ru online-Y.0 0.156 0.587817415551 0.1909 0.5171 -0.443646903312 -0.347476557885 0.558482585998 0.918324764512 3.10298497747 4.5905 0.5675 0.4818 0.488906555563 0.511044030896 0.384694842263 0.31054651978 0.4681 0.683309161743 0.869092516274 0.767456007511 67.9859 66.4704 0.3020 55.2255
en-ru online-G.0 0.279 0.599267973438 0.2178 0.5372 -0.433005255701 -0.337193192742 0.580780924524 0.914781547166 2.93115973961 4.9059 0.5878 0.5070 0.495817078262 0.518961971467 0.382908963445 0.312926339509 0.4933 0.69089895308 0.870376197296 0.766894862293 68.8348 67.4132 0.3413 56.8096
en-ru NICT.6563 -1.27 0.392567633139 0.0856 0.3058 -0.695791517163 -0.585715952861 0.0641702376003 0.94668733984 3.76768052078 2.4382 0.3596 0.2654 0.447537180824 0.467921794442 0.325988182273 0.263351477216 0.2555 0.400329248438 0.79292009364 0.855170336505 38.7569 38.1895 0.1431 32.0019
en-ru PROMT_NMT_EN-RU.6989 0.219 0.587559999914 0.1941 0.5226 -0.44786469213 -0.347566388874 0.553335224319 0.917226831102 2.86020781172 4.5933 0.5828 0.4835 0.495373764303 0.518340700396 0.394943565348 0.319244817226 0.4676 0.676783131698 0.868053281422 0.765526561342 68.1374 66.8183 0.3133 55.1579
