LP SYSTEM HUMAN BEER BLEU CDER CharacTER EED ESIM NIST PER TER WER YiSi-0 YiSi-1 YiSi-1_srl YiSi-2 YiSi-2_srl chrF chrF+ sacreBLEU-BLEU sacreBLEU-chrF
en-zh BTRANS.6821 0.009 0.364846850944 0.3835 0.5451 -0.605738023352 -0.49425393404 0.474080144652 8.5214 0.6598 0.4248 0.3880 0.60007283345 0.828794788683 0.790084352028 0.745786774161 0.710131967451 52.7256 46.1711 0.0858 36.2947
en-zh online-X.0 -0.553 0.288663198353 0.2452 0.3997 -0.792461634933 -0.652145178387 0.26663635741 6.8185 0.5083 0.3262 0.2877 0.505023426189 0.781865309965 0.741977130195 0.735984831748 0.701098525789 39.1163 33.5983 0.0053 20.9318
en-zh online-A.0 0.052 0.31765507861 0.3129 0.4862 -0.70774365675 -0.579821764406 0.413154187407 7.8385 0.5871 0.4061 0.3711 0.552383156735 0.817660268903 0.777011962944 0.735384691537 0.699829557336 45.8106 39.5987 0.0229 25.7531
en-zh online-B.0 -0.125 0.357420740911 0.3693 0.5372 -0.646268142551 -0.518285559008 0.478188115194 8.7297 0.6388 0.4683 0.4290 0.595257417126 0.826084418127 0.787173833751 0.751601958438 0.715658457186 51.5811 44.3961 0.0426 33.8480
en-zh UEDIN.6158 0.017 0.337073790939 0.3442 0.5102 -0.683194197174 -0.54651271833 0.442909999445 8.3099 0.6165 0.4334 0.3963 0.567792618928 0.820335548823 0.781339808713 0.738336255884 0.704148749124 48.8383 42.4348 0.0716 29.8686
en-zh online-Y.0 -0.218 0.340589313917 0.3239 0.4939 -0.698987285998 -0.556828875395 0.377962721941 8.0400 0.6031 0.4228 0.3826 0.553169693891 0.808597518778 0.768985023535 0.743743883325 0.708651436655 47.1554 41.6734 0.0708 27.5087
en-zh online-G.0 -0.262 0.324425199474 0.3022 0.4760 -0.71593213006 -0.575903587659 0.331121306179 7.7954 0.5908 0.3977 0.3538 0.553160285328 0.801285814221 0.762022115674 0.749120292439 0.713441807211 45.8990 39.4146 0.0410 28.5101
en-zh NICT.6817 0 0.325982992874 0.3446 0.5116 -0.68714633394 -0.555439638929 0.430320649077 8.1382 0.6301 0.4158 0.3792 0.561627687531 0.817471644967 0.778631942414 0.735723085628 0.699739436655 49.0528 42.0764 0.0514 28.2107
en-zh NEU.6830 0.209 0.360986067393 0.3990 0.5572 -0.627967133659 -0.5069587812 0.509156406648 8.8975 0.6711 0.4670 0.4304 0.600646609364 0.837062537807 0.79779883976 0.739040588883 0.70457185979 53.1750 46.2827 0.1099 34.2616
en-zh xzl-nmt.6847 0.042 0.341814117082 0.3563 0.5203 -0.677756519581 -0.540011930032 0.441920531117 8.4517 0.6262 0.4409 0.4043 0.575034551327 0.820675267401 0.781361171257 0.739912094141 0.705515259389 49.5799 42.8095 0.0971 30.9505
en-zh Baidu-system.6932 0.28 0.378192460731 0.4247 0.5795 -0.581971518055 -0.472534231792 0.542534852149 9.2213 0.6894 0.4827 0.4467 0.62366722634 0.844071375063 0.804786562844 0.742149822233 0.705840755133 55.3691 49.0552 0.1970 40.5780
en-zh KSAI-system.6982 0.306 0.395644767513 0.4242 0.5773 -0.577832348851 -0.470282232908 0.538535278027 9.1408 0.6894 0.4828 0.4473 0.616996904357 0.843765554331 0.805834355033 0.741679331998 0.706164759139 55.3380 49.3265 0.1666 37.7530
