LP SYSTEM HUMAN BEER BERTr BLEU CDER CharacTER EED ESIM Meteor++_2.0(syntax) Meteor++_2.0(syntax+copy) NIST PER PReP TER UNI UNI+ WER WMDO YiSi-0 YiSi-1 YiSi-1_srl YiSi-2 chrF chrF+ ibm1-morpheme sacreBLEU-BLEU sacreBLEU-chrF
fi-en online-X.0 -0.071 0.553693079019 0.753610259605 0.1128 0.4305 -0.534131267361 -0.396633184548 0.256902042001 0.326918463866 0.307896543668 3.1753 0.5475 0.525508808467 0.3968 0.440606590521 0.523291698322 0.3708 -0.239888721101 0.617330458417 0.721662107715 0.699995399299 0.709462456914 49.4044 50.2461 -333184.823706 0.2494 49.2048
fi-en online-A.0 0.012 0.567972423285 0.775406749908 0.1135 0.4500 -0.512024634741 -0.378751751479 0.328444403096 0.333515401252 0.316824333438 3.2337 0.5787 0.896022247395 0.4160 0.448871828624 0.533535274664 0.3833 -0.231841188501 0.627954127756 0.757688071643 0.734836008016 0.727262813126 52.0316 52.9005 -350219.18367 0.2529 52.1870
fi-en online-B.0 0.107 0.587097187888 0.794656136545 0.1293 0.4833 -0.487880765429 -0.362850686932 0.42807979226 0.348451192385 0.332710500646 3.4617 0.5980 0.882357495741 0.4585 0.4580222151 0.54445033489 0.4275 -0.21069442448 0.648400964429 0.784530450902 0.762054155812 0.731304110721 54.0529 54.9338 -428876.797166 0.2805 54.1178
fi-en TartuNLP-c.6905 -0.053 0.564464281757 0.773365755269 0.1121 0.4533 -0.511014092363 -0.379674826624 0.284771775839 0.326632333998 0.309523169045 3.1453 0.5697 0.49755810501 0.4240 0.451209146032 0.533670941728 0.3935 -0.245166560358 0.624652916333 0.755911465932 0.734704778557 0.735878533567 51.9993 52.6683 -519558.926047 0.2521 52.2039
fi-en GTCOM-Primary.6946 0.261 0.618433227239 0.828259277678 0.1477 0.5299 -0.426763804658 -0.321379951925 0.53985146293 0.381073320389 0.368018515483 3.7042 0.6431 0.615889969289 0.4910 0.46364612004 0.551651565271 0.4576 -0.17752442865 0.684647754509 0.819713207916 0.799036371743 0.732176935371 59.1427 60.0275 -450921.57322 0.3304 59.2012
fi-en online-Y.0 0.265 0.606729880682 0.814265791185 0.1387 0.5132 -0.447730553197 -0.336422117642 0.510566705686 0.369547823699 0.35510463304 3.5898 0.6315 0.592925481964 0.4831 0.461250116067 0.548099143933 0.4503 -0.189782447329 0.671191208768 0.805983270541 0.784997345691 0.729520701904 57.2468 58.0983 -418857.272263 0.3108 57.1706
fi-en Helsinki_NLP.6889 0.105 0.584090054204 0.79427458967 0.1240 0.4810 -0.482086365764 -0.359761399457 0.43670182699 0.351275506537 0.334805142561 3.3556 0.6040 0.540095187024 0.4429 0.459275295942 0.546256154815 0.4117 -0.2159097753 0.645836418337 0.782437556112 0.761469243487 0.727583682365 54.3560 55.2689 -449418.025059 0.2775 54.1755
fi-en online-G.0 -0.044 0.560068170505 0.756027952165 0.1039 0.4169 -0.529454762002 -0.387582436079 0.249192995281 0.333022883975 0.316737120121 3.1553 0.5555 0.444934334269 0.3826 0.434484160601 0.512928090827 0.3505 -0.241698588228 0.622030973246 0.73882278507 0.715114809118 0.719073328156 51.0938 51.8399 -618757.649686 0.2302 50.9790
fi-en parfda.6526 -0.209 0.536278175995 0.71653677777 0.0943 0.3929 -0.598206651486 -0.422594088425 0.0117316552772 0.305926966809 0.288504840741 3.0252 0.5226 0.412018812976 0.3734 0.412129460123 0.48235306745 0.3396 -0.280890374012 0.587143469439 0.695752841683 0.670496972445 0.726611425852 47.6913 48.4531 -795610.792928 0.1974 47.8240
fi-en USYD.6995 0.245 0.616795838322 0.817452186946 0.1539 0.5331 -0.432491808272 -0.327911607382 0.490103245247 0.372455056424 0.357384950844 3.7312 0.6417 0.57837767991 0.4990 0.458051749537 0.543685877295 0.4694 -0.18608829389 0.680318766032 0.806033417836 0.78640986523 0.727405020541 58.3473 59.2193 -473967.611735 0.3411 58.5223
fi-en MSRA.NAO.6983 0.285 0.618363242705 0.825901160812 0.1496 0.5291 -0.432607184042 -0.324673251902 0.53739475742 0.378125366241 0.364693739644 3.7531 0.6458 0.615580782064 0.4992 0.464104217039 0.551630736979 0.4661 -0.180190764978 0.682405092184 0.819072252505 0.798647142786 0.732266598697 58.8458 59.6997 -469458.53152 0.3311 58.9217
fi-en apertium-fin-eng-unconstrained-fien.6449 -0.516 0.463536582405 0.623720136667 0.0424 0.2773 -0.671407944116 -0.487276678069 -0.482220325232 0.249933540803 0.233097130607 2.2797 0.4078 0.214902201503 0.2604 0.351998587617 0.398681928011 0.2364 -0.372605161883 0.509319570641 0.606560434369 0.580377391283 0.711603077154 38.8417 39.1362 -879278.896536 0.0859 39.5906
