LP SYSTEM HUMAN BEER BLEU CDER CharacTER EED ESIM NIST PER TER WER YiSi-0 YiSi-1 YiSi-1_srl YiSi-2 chrF chrF+ ibm1-morpheme ibm1-pos4gram sacreBLEU-BLEU sacreBLEU-chrF
fr-de online-X.0 -0.41 0.576923301373 0.1991 0.4535 -0.488365831241 -0.361229018394 0.529173150717 5.2813 0.5107 0.3791 0.3553 0.633247337449 0.848208110523 0.822606782481 0.802587342152 56.3896 56.5921 -132295.732663 -1988862.63079 0.2549 56.4328
fr-de MLLP-UPV.6654 0.037 0.59938751557 0.2257 0.4864 -0.458939397774 -0.337339504657 0.63206497569 5.6319 0.5711 0.4281 0.4031 0.653046002469 0.862916821869 0.839692576132 0.799007533216 59.6323 59.6997 -142290.32542 -1994153.17054 0.2913 59.7124
fr-de online-B.0 -0.034 0.589900755347 0.2165 0.4724 -0.478320109966 -0.354257086476 0.599785226881 5.5586 0.5845 0.4305 0.4047 0.639917786479 0.857801048795 0.833864296296 0.796638664903 57.6598 57.6754 -145817.46561 -1941242.13921 0.2756 57.9552
fr-de eTranslation.6262 0.246 0.631206013254 0.2711 0.5300 -0.417450262339 -0.311023891324 0.70848892781 6.2962 0.6329 0.4966 0.4714 0.684449054497 0.877028190476 0.855371235156 0.79845732863 62.9638 62.9856 -153459.782928 -1978278.65727 0.3423 62.7169
fr-de online-A.0 -0.039 0.598355599073 0.2217 0.4848 -0.464666211848 -0.341680352367 0.607216853706 5.6118 0.5742 0.4308 0.4064 0.648671890829 0.860794318636 0.836597300412 0.79668575485 59.1023 59.1941 -163454.247448 -2031777.8763 0.2864 59.2093
fr-de online-Y.0 0.001 0.584305446703 0.2078 0.4680 -0.479011362104 -0.355616691788 0.583757341312 5.3966 0.5683 0.4199 0.3959 0.634533677484 0.856908281011 0.832920645503 0.798637194591 57.4171 57.3284 -169920.720848 -1885392.74348 0.2703 57.8320
fr-de online-G.0 -0.018 0.585021842626 0.2228 0.4638 -0.468854006321 -0.343705512423 0.615232910294 5.5848 0.5317 0.3991 0.3767 0.643876075955 0.856487588477 0.831182464433 0.797925167549 58.1616 58.0533 -163454.492071 -2011790.05437 0.2855 58.6950
fr-de TartuNLP-c.6514 -0.098 0.579747655687 0.2047 0.4614 -0.483520525818 -0.355172083664 0.5840432332 5.3379 0.5520 0.4060 0.3820 0.631288826749 0.855116091711 0.831891293945 0.800243700764 57.4584 57.4224 -158163.076975 -1887156.53385 0.2646 57.7841
fr-de LIUM.6720 0.082 0.610886368098 0.2435 0.5052 -0.441457801656 -0.32324956812 0.649727951667 5.8752 0.5847 0.4501 0.4197 0.667115927984 0.868575067019 0.846001812463 0.799113854791 61.3060 61.4325 -182267.286276 -2182278.37988 0.3147 61.6334
fr-de MSRA.MADL.6893 0.267 0.644368031269 0.2850 0.5537 -0.396011743949 -0.29680225315 0.732249927858 6.4463 0.6531 0.5177 0.4931 0.70021903351 0.883953376837 0.861808447972 0.798895675485 64.6862 64.7996 -183442.846224 -2301030.92124 0.3691 64.5564
