LP SYSTEM HUMAN BEER BERTr BLEU CDER CharacTER EED ESIM Meteor++_2.0(syntax) Meteor++_2.0(syntax+copy) NIST PER PReP TER WER WMDO YiSi-0 YiSi-1 YiSi-1_srl YiSi-2 chrF chrF+ sacreBLEU-BLEU sacreBLEU-chrF
gu-en UEDIN.6534 0.126 0.536101572311 0.744744302808 0.2352 0.4126 -0.560724127394 -0.40255006123 0.145015450809 0.306466248087 0.288812152406 6.2117 0.5452 0.36194997185 0.3518 0.3165 -0.260280622541 0.600525791339 0.71474732874 0.694370445866 0.626211871063 48.1284 48.9424 0.2352 49.5050
gu-en CUNI-T2T-transfer-guen.6431 0.09 0.515190296119 0.725324457086 0.1992 0.3613 -0.589688954898 -0.42584344479 0.0868909514333 0.289157965324 0.271633303461 5.7038 0.4965 0.325141336417 0.2970 0.2635 -0.28884666465 0.580230088583 0.693753933071 0.673634047244 0.623783033465 45.7618 46.3337 0.1992 45.7674
gu-en IIITH-MT.6688 -0.296 0.425580449556 0.603161191993 0.0967 0.2415 -0.720698250873 -0.517766802858 -0.596868571407 0.21062626656 0.189628570205 4.0782 0.3440 0.21949813875 0.1952 0.1768 -0.386922904566 0.486596970472 0.535565336614 0.513008666339 0.620087327756 32.6255 33.1073 0.0967 32.2847
gu-en UdS-DFKI.6861 -0.277 0.448644511659 0.60782072696 0.1072 0.2652 -0.719833691182 -0.507127153555 -0.635123988289 0.235832548541 0.217172714587 4.4886 0.4279 0.224429959941 0.2021 0.1648 -0.39755224464 0.492483359843 0.557991913386 0.532047268701 0.615950306102 37.1391 37.8587 0.1072 38.4045
gu-en NICT.6603 0.044 0.508206585114 0.712522885579 0.1885 0.3637 -0.628765128127 -0.441377860668 0.0392760891599 0.281962389519 0.262997364766 5.7207 0.4907 0.311561473642 0.3120 0.2782 -0.294008620865 0.572819813976 0.68120425 0.660166779528 0.623235188976 43.9311 44.6516 0.1885 44.8944
gu-en GTCOM-Primary.6969 0.1 0.522200682951 0.723830334578 0.1985 0.3678 -0.590019543236 -0.417801271762 -0.0154352197039 0.297379366166 0.280667579877 5.9721 0.5091 0.333744292028 0.3067 0.2694 -0.286267982875 0.585435504921 0.690146626969 0.669110755906 0.627832172244 46.7363 47.3034 0.1985 47.6810
gu-en online-G.0 -0.189 0.473767129369 0.618633248792 0.1093 0.2586 -0.697018857414 -0.481210078307 -0.539624757757 0.272620027669 0.257889742377 4.8346 0.4213 0.204328670571 0.1638 0.1197 -0.341393261804 0.529093867126 0.591920366142 0.562021399606 0.619825826772 41.1438 41.6449 0.1093 42.9706
gu-en NEU.6756 0.21 0.558115954349 0.76518221179 0.2706 0.4440 -0.524275214393 -0.379112662496 0.235510706199 0.325057376413 0.308945506057 6.6638 0.5753 0.397763188189 0.3852 0.3489 -0.241665476763 0.627607456299 0.738021843504 0.717731751969 0.625130875 50.9750 51.7725 0.2706 52.4192
gu-en IITP-MT.6824 -0.192 0.454451004606 0.633135834635 0.1110 0.2746 -0.708529745939 -0.496668084631 -0.409347324469 0.229976837474 0.210526285665 4.5397 0.4139 0.2255937625 0.2201 0.1883 -0.37553304192 0.507947091535 0.585482252953 0.561484533465 0.623456878937 37.2249 37.7844 0.1110 38.0365
gu-en aylien_mt_gu-en_multilingual.6826 0.066 0.513948924582 0.720022891919 0.1935 0.3647 -0.619010052964 -0.432677588251 0.0278270301211 0.285820499829 0.269060771253 5.9227 0.4919 0.320607573917 0.3196 0.2853 -0.29618748911 0.577813545276 0.688898739173 0.667712805118 0.62734503937 44.6991 45.2957 0.1935 46.0474
gu-en Ju_Saarland.6525 -0.598 0.422693173404 0.596880260708 0.1287 0.2666 -0.733769411629 -0.549823276567 -0.501150331212 0.218375311847 0.199894795207 4.2033 0.3714 0.26660760935 0.1812 0.1575 -0.451042944623 0.422956694892 0.556435067913 0.535746653543 0.681716069882 31.6066 32.9080 0.1287 30.1596
