LP SYSTEM HUMAN BEER BERTr BLEU CDER CharacTER EED ESIM Meteor++_2.0(syntax) Meteor++_2.0(syntax+copy) NIST PER PReP TER WER WMDO YiSi-0 YiSi-1 YiSi-1_srl YiSi-2 chrF chrF+ hLEPORa_baseline hLEPORb_baseline sacreBLEU-BLEU sacreBLEU-chrF
kk-en UMD.6736 -0.477 0.38899718186 0.605065012038 0.1012 0.2439 -0.805028722776 -0.566436502967 -0.226347922884 0.171196827628 0.14751351011 3.3079 0.3489 0.1957721843 0.1480 0.1328 -0.432147010328 0.4348294292 0.555407046 0.528660217 0.637963669 29.6787 30.3407 0.377931548696 0.37793154869558 0.1012 29.6927
kk-en NICT.6770 0.064 0.555249327465 0.768827872887 0.2798 0.4542 -0.562920026262 -0.391535718759 0.235751820575 0.320577756599 0.301747831392 6.7136 0.5814 0.4164059761 0.3745 0.3364 -0.252409235778 0.6183984628 0.744822536 0.721382658 0.685719545 51.5469 52.3782 0.61820455701 0.618204557010379 0.2798 53.2322
kk-en online-B.0 0.27 0.594934715406 0.803320343673 0.3393 0.5042 -0.504622769389 -0.35370973471 0.450686783325 0.354391482897 0.336806216331 7.6229 0.6167 0.818961196 0.4611 0.4305 -0.209044681114 0.657215859 0.788526417 0.765320297 0.685573826 55.9595 56.6725 0.650009707249 0.650009707248895 0.3393 57.3677
kk-en DBMS-KU_KKEN.6726 -1.058 0.300536843343 0.494652277023 0.0374 0.1675 -0.865283693739 -0.662631851509 -1.2924310363 0.11935431852 0.0994557523616 2.4216 0.2413 0.1235440508 0.0114 0.0004 -0.623407335727 0.3098861304 0.41893035 0.392658676 0.729190876 18.4253 19.7479 0.278752742159 0.278752742158832 0.0374 20.6853
kk-en CUNI-T2T-transfer-kken.6436 0.003 0.507374721974 0.735241315693 0.2017 0.3736 -0.658522064177 -0.444978694994 0.242387310863 0.282015052067 0.26056491876 5.7313 0.4824 0.3297391529 0.3294 0.3010 -0.294905726002 0.567084917 0.715358038 0.690527242 0.675361778 44.3586 44.9697 0.538624232806 0.538624232806018 0.2017 44.9609
kk-en NRC-CNRC.6895 0.092 0.558316184394 0.780137034625 0.2678 0.4523 -0.551124170155 -0.384775582381 0.278883739201 0.328290876881 0.311318231913 6.6534 0.5711 0.4018134772 0.3726 0.3325 -0.248110416608 0.619676004 0.757577808 0.734081188 0.685421253 52.4304 53.1878 0.619825645292 0.619825645291603 0.2677 54.3864
kk-en rug_kken_morfessor.6677 0.189 0.573593030833 0.794840207994 0.2999 0.4722 -0.530926625658 -0.367255999099 0.402713835882 0.343187880156 0.326165686915 7.0170 0.5926 0.4504042839 0.3941 0.3549 -0.226154068223 0.638581462 0.776951141 0.754712727 0.684650458 54.3691 55.1545 0.639507620641 0.639507620641083 0.2999 55.0636
kk-en talp_upc_2019_kken.6657 0.113 0.549847118888 0.772662348837 0.2696 0.4333 -0.580066073445 -0.393080493924 0.346127509512 0.325411713684 0.307601834082 6.6711 0.5728 0.4023943227 0.3580 0.3177 -0.252153980862 0.610861666 0.750705774 0.727400511 0.6792704 51.4356 52.1097 0.60708406825 0.607084068249569 0.2696 52.6752
kk-en online-G.0 0.133 0.560557750303 0.783295366168 0.2913 0.4531 -0.556666797871 -0.383837779801 0.322072332978 0.33123228327 0.314610741786 6.9784 0.5901 0.4184922541 0.3792 0.3412 -0.240853595598 0.624284294 0.760535666 0.736767589 0.680943684 52.6363 53.2552 0.616712374621 0.616712374621293 0.2913 54.4189
kk-en NEU.6753 0.218 0.590968844489 0.807126269549 0.3251 0.4997 -0.503880464691 -0.351531517524 0.423625639329 0.355556804977 0.339496576901 7.4697 0.6289 0.4807627736 0.4348 0.3995 -0.208369564871 0.655185749 0.791858033 0.769659078 0.686505025 56.3163 57.1069 0.660377869631 0.660377869630834 0.3251 57.5442
kk-en Frank_s_MT.6127 0.066 0.524392690621 0.793462012857 0.2129 0.4664 -0.543250221269 -0.36097413089 0.313805733725 0.338107418893 0.316858910884 5.2285 0.2296 0.3901345305 0.0624 0.0443 -0.256100424332 0.629351687 0.761705233 0.738667802 0.678925328 55.0160 55.7952 0.555394836775 0.55539483677525 0.2129 56.1650
