LP SYSTEM HUMAN BEER BERTr BLEU CDER CharacTER EED ESIM Meteor++_2.0(syntax) Meteor++_2.0(syntax+copy) NIST PER PReP TER WER WMDO YiSi-0 YiSi-1 YiSi-1_srl YiSi-2 chrF chrF+ hLEPORb_baseline ibm1-morpheme sacreBLEU-BLEU sacreBLEU-chrF
lt-en TartuNLP-c.6908 -0.059 0.578343015733 0.790636986762 0.2446 0.4535 -0.516296483078 -0.369165835159 0.317811438883 0.336236939248 0.315712757142 6.5629 0.5803 0.498531805 0.4249 0.3914 -0.234431717943 0.640273971 0.776353607 0.755000063 0.727845836 54.1481 54.5472 0.577299499507706 -465021.956974 0.2548 55.1356
lt-en online-X.0 -0.396 0.53734277666 0.744974407524 0.2123 0.3824 -0.586217651691 -0.414739267427 0.0496014811732 0.312728679888 0.291085739288 6.2094 0.5069 0.445326829025 0.3508 0.3214 -0.260797217991 0.596953649 0.702383035 0.67816715 0.709965824 48.1153 48.6108 0.554708227390406 -481021.982052 0.2138 48.1102
lt-en GTCOM-Primary.6998 0.234 0.6477553665 0.847680424333 0.3640 0.5688 -0.403634254422 -0.301061561078 0.56773747451 0.398712086709 0.383537847906 8.0870 0.6749 0.6439471109 0.5457 0.5138 -0.153302601041 0.715033374 0.845293777 0.825968401 0.721694953 62.7251 63.3092 0.6645904570241 -422021.39257 0.3784 63.8411
lt-en tilde-nc-nmt.6881 0.216 0.626043903403 0.830639669061 0.3262 0.5319 -0.445247074937 -0.328854878013 0.548274875103 0.374960206176 0.357208550983 7.7088 0.6458 0.6047367039 0.5127 0.4792 -0.180235127018 0.686659529 0.828918464 0.808760706 0.718217659 59.7449 60.2476 0.637199993801737 -396021.489866 0.3315 60.4933
lt-en online-A.0 -0.056 0.586087795566 0.793519757032 0.2536 0.4540 -0.514895015533 -0.36673010204 0.362437204391 0.342757484764 0.322766858487 6.7544 0.5903 0.9281284574 0.4240 0.3880 -0.213688736583 0.646938308 0.777685474 0.755684488 0.720513205 54.7219 55.2983 0.595715589320068 -330020.780022 0.2639 55.3511
lt-en online-B.0 0.107 0.611515798418 0.81675093174 0.3049 0.5037 -0.484460253742 -0.344334782626 0.490495405829 0.363874606027 0.345299425152 7.5204 0.6240 0.9092890456 0.4830 0.4475 -0.189116390812 0.67434808 0.809598454 0.788231582 0.720997197 57.5045 58.1618 0.619511681001244 -431021.142262 0.3071 58.2911
lt-en JUMT.6616 -0.337 0.497918278595 0.695755388826 0.1755 0.3461 -0.646372996259 -0.463444149265 0.0234001144245 0.277275753926 0.256665738974 5.4069 0.4730 0.4528156513 0.2707 0.2417 -0.341828047442 0.53924834126 0.678139295 0.656355269 0.6937667 43.3268 43.9378 0.480402383447599 -5316034.89867 0.1765 43.4837
lt-en tilde-c-nmt.6876 0.202 0.619121947938 0.824941365898 0.3161 0.5202 -0.454732758124 -0.336030690079 0.528488790404 0.36909618444 0.350748209727 7.5749 0.6328 0.592899192 0.5020 0.4683 -0.184775876205 0.680396136 0.822151617 0.801749353 0.718671698 58.7031 59.2018 0.629166353752457 -383021.30828 0.3195 59.2945
lt-en online-G.0 -0.284 0.562838836978 0.755226088822 0.2078 0.3978 -0.566622952713 -0.388280891098 0.0422596537583 0.33021137456 0.31165319141 6.3794 0.5677 0.4237106794 0.3618 0.3209 -0.247095350992 0.621454713 0.730797645 0.706402752 0.730684313 52.3833 52.9237 0.569165949894038 -550021.75249 0.2177 53.3458
lt-en MSRA.MASS.6945 0.206 0.642198300361 0.840914691955 0.3467 0.5605 -0.413271003657 -0.306282572247 0.534313981026 0.392027652349 0.376116745583 7.8469 0.6756 0.6420476553 0.5322 0.4981 -0.157614325703 0.704248892 0.838569393 0.818741156 0.724824348 62.0813 62.7314 0.661356864249545 -352020.947552 0.3656 63.3139
lt-en NEU.6759 0.213 0.635588515992 0.840027368963 0.3342 0.5493 -0.423920568415 -0.311892949153 0.556125099316 0.388621163346 0.372370572498 7.7014 0.6713 0.634341902 0.5188 0.4832 -0.162784866609 0.697996784 0.836612142 0.816800202 0.722906429 61.2149 61.9121 0.654721876195725 -380021.111127 0.3547 62.3715
