LP SYSTEM HUMAN BEER BERTr BLEU CDER CharacTER EED ESIM LASIM LP Meteor++_2.0(syntax) Meteor++_2.0(syntax+copy) NIST PER PReP TER UNI UNI+ WER WMDO YiSi-0 YiSi-1 YiSi-1_srl YiSi-2 chrF chrF+ sacreBLEU-BLEU sacreBLEU-chrF
ru-en afrl-syscomb19.6782 0.012 0.627813024278 0.813043330058 0.2462 0.5627 -0.41567229487 -0.309420035413 0.388449234942 0.90551686587 2.3554405 0.38343128079 0.367358058452 5.5309 0.6715 0.6740775926 0.5206 0.526044315572 0.54811015835 0.4924 -0.179885975889 0.6967685225 0.80563982 0.7852912015 0.7708875775 60.7677 61.3917 0.3841 62.3674
ru-en online-X.0 -0.097 0.593043258272 0.796798773915 0.2205 0.5122 -0.452373987881 -0.342310532966 0.32388236855 0.90244349011 2.587971 0.366638795157 0.347909705586 5.1347 0.6094 0.60015846355 0.4600 0.519173147745 0.54098545469 0.4351 -0.194301864207 0.663836377 0.763412448 0.7431039365 0.759180456 56.2072 56.8488 0.3486 57.3025
ru-en TartuNLP-u.6650 -0.04 0.596036568929 0.79775036259 0.2039 0.5092 -0.456436106094 -0.341016896634 0.399422546728 0.90640763203 2.4045435 0.355680638932 0.337132432005 4.9903 0.6262 0.5622408649 0.4706 0.53129347162 0.554317486605 0.4430 -0.21161680316 0.6610874115 0.786390769 0.766175967 0.7638202225 56.4353 57.0466 0.3206 57.5719
ru-en online-A.0 0.029 0.624450973924 0.818626376346 0.2402 0.5559 -0.417192242358 -0.310756657769 0.44447000427 0.909173350435 2.432126 0.37959370267 0.362594975286 5.4559 0.6628 0.6643444531 0.5113 0.5294581721 0.552223133495 0.4850 -0.175580814634 0.6949868785 0.808544935 0.788483546 0.773318912 60.5474 61.0998 0.3784 61.9282
ru-en online-B.0 0.121 0.664783321683 0.84237801291 0.2952 0.6207 -0.364533620416 -0.270941960485 0.532294991654 0.9070188989 2.554492 0.417301662915 0.403493966831 6.0925 0.7179 0.92275015955 0.5841 0.532348990127 0.5556230168 0.5567 -0.145291684332 0.73592823 0.8403139535 0.821411781 0.7733122525 65.7534 66.3006 0.4656 67.4572
ru-en online-Y.0 0.076 0.633706539713 0.819732893273 0.2435 0.5660 -0.407371747563 -0.304607542809 0.454932537526 0.90862084347 2.7435075 0.393176362049 0.378863921593 5.5395 0.6682 0.67641158755 0.5224 0.51948387757 0.541470101333 0.4945 -0.179932915578 0.704251305 0.821518145 0.800710017 0.775433903 61.6240 62.1402 0.3827 62.9539
ru-en online-G.0 0.134 0.639697952375 0.829489092201 0.2634 0.5783 -0.404154059451 -0.29807913196 0.477462015836 0.906858914115 2.4222915 0.400104758891 0.386305268884 5.7547 0.6803 0.7352970525 0.5341 0.533317552007 0.55689114978 0.5047 -0.160947277432 0.7103669155 0.82099827 0.8000445695 0.772830739 62.2491 62.8557 0.4149 63.7355
ru-en afrl-ewc.6659 -0.039 0.613034760164 0.809622549832 0.2237 0.5432 -0.430389673948 -0.321002836472 0.386358398327 0.903584159405 2.398223 0.367809183266 0.350136390364 5.2283 0.6519 0.61344905975 0.4994 0.53041245501 0.553618327235 0.4731 -0.194006133498 0.680762126 0.798319003 0.778907871 0.769295528 59.0107 59.6155 0.3506 60.8339
ru-en eTranslation.6598 0.122 0.631152469892 0.82603545782 0.2522 0.5674 -0.417475898406 -0.309078343497 0.508339386379 0.902513277735 2.5127935 0.386676088954 0.371487305245 5.6938 0.6726 0.6616321525 0.5345 0.537038052702 0.56043116316 0.5057 -0.176167530624 0.7008018165 0.822532379 0.8027699645 0.7693095925 60.7915 61.4001 0.3861 62.6007
ru-en NICT.6561 -0.303 0.550847541612 0.731775312081 0.1865 0.4880 -0.511018474312 -0.395245794155 -0.001437945785 0.91279425131 2.9020915 0.315464046925 0.297292569008 4.6116 0.5847 0.486848413505 0.4315 0.51355911341 0.534517129478 0.4064 -0.286410729317 0.60004636158 0.7175264055 0.696125631 0.79340956 50.5932 51.4084 0.2907 54.1449
ru-en rerank-re.6540 0.084 0.60653951092 0.82248676873 0.2491 0.5720 -0.423071126552 -0.306120788103 0.449570319776 0.90939960295 2.477259 0.388632688482 0.373698677409 5.5564 0.6734 0.69668097875 0.5277 0.533557806047 0.556546654693 0.4997 -0.177736042971 0.6995395426 0.817122066 0.7973555525 0.7764137735 61.3772 62.0621 0.3903 62.9706
ru-en MSRA.SCA.6976 0.102 0.645389717895 0.832225455478 0.2662 0.5844 -0.397984475955 -0.294933927934 0.492200842443 0.90646051135 2.465727 0.395974374032 0.381135812405 5.8371 0.6894 0.706594997 0.5479 0.533321421792 0.55646578398 0.5190 -0.161845009834 0.7140918455 0.8292462765 0.8090760685 0.7736243705 62.7917 63.3838 0.4108 64.0905
ru-en Facebook_FAIR.6937 0.156 0.645255314163 0.844794482574 0.2606 0.5904 -0.386868473813 -0.287752810935 0.564451815539 0.902950749355 2.6150385 0.403379806796 0.38967111615 5.7236 0.6933 0.7123637964 0.5543 0.540622914505 0.564883641365 0.5252 -0.156914907406 0.716879317 0.84063402 0.8214140435 0.76994281 63.2229 63.9077 0.4125 64.7604
ru-en NEU.6803 0.115 0.647496605418 0.837459884778 0.2639 0.5963 -0.386767462276 -0.287755528971 0.502280388237 0.910004339375 2.355793 0.402236489125 0.388051025723 5.7616 0.6868 0.7287989216 0.5495 0.536827778427 0.56059879716 0.5218 -0.156361704535 0.717308374 0.832603907 0.8127541695 0.776574262 63.4848 64.1716 0.4115 64.9259
