LP SYSTEM HUMAN BEER BERTr BLEU CDER CharacTER EED ESIM Meteor++_2.0(syntax) Meteor++_2.0(syntax+copy) NIST PER PReP TER WER WMDO YiSi-0 YiSi-1 YiSi-1_srl YiSi-2 YiSi-2_srl chrF chrF+ hLEPORa_baseline hLEPORb_baseline sacreBLEU-BLEU sacreBLEU-chrF
zh-en NICT.6814 0.001 0.615329799064 0.824176695645 0.3261 0.4985 -0.504059007411 -0.345211011106 0.413067573117 0.357088276977 0.329333155233 8.0549 0.6350 0.5430672737 0.4209 0.3866 -0.189519594894 0.684523201 0.795044813 0.773341023 0.736647655 0.694569038 58.9834 59.5657 0.692480169598 0.692480169597942 0.3261 58.9802
zh-en online-X.0 -0.483 0.567997955247 0.786335110158 0.2515 0.4191 -0.590360902097 -0.401257774696 0.275352039937 0.32390716996 0.293107279497 7.3594 0.5484 0.4582802683 0.3708 0.3410 -0.222556024531 0.638451984 0.7405115305 0.71712354 0.726792484 0.683975883 51.5024 51.9457 0.639941299982 0.639941299981734 0.2515 51.8508
zh-en MSRA.MASS.6996 0.203 0.667067348086 0.85298979336 0.4094 0.5746 -0.421752777958 -0.295724598934 0.495376651515 0.396107068187 0.373902657685 9.5465 0.6859 0.71796771325 0.5359 0.5043 -0.142680431475 0.7398468145 0.8367333595 0.8155619255 0.7445912965 0.701381971 65.2954 65.6983 0.737127273954 0.737127273954039 0.4094 65.5200
zh-en BTRANS.6825 0.186 0.634983643404 0.835657892525 0.3541 0.5201 -0.481549515762 -0.326334852074 0.449072027736 0.372083708093 0.348017395975 8.6053 0.6569 0.608641888965 0.4548 0.4207 -0.170809046307 0.7068626375 0.8147390045 0.792439537 0.7373793815 0.694623119 61.5849 62.0858 0.708900785175 0.70890078517528 0.3541 61.9452
zh-en UEDIN.6530 0.054 0.604162400179 0.815688674048 0.2971 0.4694 -0.544705813635 -0.361653864633 0.409692614516 0.347188908795 0.320222206621 7.8325 0.6011 0.54292155833 0.3838 0.3512 -0.198702433282 0.6752542975 0.7914396265 0.768435745 0.732798068 0.6897491415 57.1145 57.6059 0.668508239319 0.668508239318565 0.2971 56.6805
zh-en online-B.0 0.161 0.677537345033 0.853272353798 0.4403 0.5914 -0.402926239264 -0.285486848815 0.50143248973 0.405721387031 0.383357448353 9.8358 0.6900 0.91218346255 0.5557 0.5286 -0.137017564667 0.7513386695 0.839598687 0.819223095 0.7419976515 0.6985669595 66.2760 66.5637 0.743144998549 0.743144998548749 0.4403 66.9296
zh-en Baidu-system.6940 0.295 0.659480437369 0.854818426818 0.3963 0.5645 -0.425778790663 -0.295471118563 0.506866332953 0.394742189075 0.372716983179 9.1311 0.6927 0.6409314797 0.5079 0.4735 -0.14463958012 0.732913379 0.836097508 0.815283911 0.7416404665 0.6991071875 65.1697 65.6350 0.741530986927 0.741530986927048 0.3963 65.7088
zh-en online-A.0 -0.065 0.615577195197 0.816350727543 0.3128 0.4824 -0.522717350432 -0.351664105057 0.371641099524 0.356938004022 0.331892532837 8.3930 0.6140 0.92151679805 0.4341 0.3989 -0.191211256287 0.6889546555 0.793801681 0.770636248 0.7372713445 0.6940463445 58.5102 58.8498 0.675021143595 0.675021143594533 0.3128 59.1045
zh-en online-Y.0 0.049 0.617859777403 0.815015349507 0.3054 0.4898 -0.519552350029 -0.351117505823 0.412201045076 0.357810515238 0.332408941411 8.2360 0.5966 0.5644650138 0.4588 0.4271 -0.193053056581 0.692915805 0.8021083025 0.779192554 0.740138389 0.6963305755 58.2222 58.5103 0.671175104601 0.671175104601252 0.3054 58.2869
zh-en MSRA.MASS.6942 0.195 0.661920522515 0.849762600034 0.3997 0.5662 -0.436091465894 -0.301042498436 0.486085857294 0.392114245394 0.369623731978 9.4680 0.6768 0.70172149875 0.5275 0.4949 -0.146051802426 0.7359993205 0.8332397755 0.812275039 0.7439786745 0.7007298285 64.6166 65.0164 0.730310390623 0.73031039062296 0.3997 64.6177
